Image_Presented,rawDT,SlideNumber,SubID,SequenceLocation,logDT,residDT,TwoAFC_Sum,TwoAFC_PropCorrect,SequenceNumber
Movies/black.mov,1.265632749,32,A007,Blank,0.102307704,-0.148677822,4,0.8,8
Movies/BigAnimals59_A1.mov,2.650464296,33,A007,Slide1,0.423321958,0.174791058,4,0.8,9
Movies/BigAnimals10_B2.mov,3.501110554,34,A007,Slide2,0.544205825,0.298033323,4,0.8,9
Movies/BigAnimals10_B2.mov,2.350136995,35,A007,Slide3,0.371093179,0.127189288,4,0.8,9
Movies/black.mov,1.833026886,36,A007,Blank,0.263168835,0.021449609,4,0.8,9
Movies/BigAnimals59_A1.mov,2.133287668,37,A007,Slide1,0.329049423,0.089436228,4,0.8,10
Movies/BigAnimals13_B4.mov,1.983201981,38,A007,Slide2,0.297366947,0.059785993,4,0.8,10
Movies/BigAnimals13_B4.mov,2.650432825,39,A007,Slide3,0.423316802,0.187698724,4,0.8,10
Movies/black.mov,1.115848422,40,A007,Blank,0.047605204,-0.186115303,4,0.8,10
Movies/BigAnimals06_A4.mov,2.300121069,41,A007,Slide1,0.361750696,0.129866181,4,0.8,11
Movies/BigAnimals07_B1.mov,3.451025724,42,A007,Slide2,0.537948197,0.307841521,4,0.8,11
Movies/BigAnimals07_B1.mov,1.66631639,43,A007,Slide3,0.221757466,-0.00662636,4,0.8,11
Movies/black.mov,1.281717062,44,A007,Blank,0.107792166,-0.118920878,4,0.8,11
Movies/BigAnimals03_A2.mov,2.234286547,45,A007,Slide1,0.349138871,0.124047246,4,0.8,12
Movies/BigAnimals10_B2.mov,2.032347202,46,A007,Slide2,0.307997904,0.084480842,4,0.8,12
Movies/BigAnimals10_B2.mov,2.26767993,47,A007,Slide3,0.355581756,0.133594731,4,0.8,12
Movies/black.mov,1.249230027,48,A007,Blank,0.096642415,-0.123856933,4,0.8,12
Movies/BigAnimals59_A1.mov,2.567055225,49,A007,Slide1,0.409435212,0.190383201,4,0.8,13
Movies/BigAnimals11_B3.mov,1.916426539,50,A007,Slide2,0.282492177,0.064849048,4,0.8,13
Movies/BigAnimals11_B3.mov,1.699626803,51,A007,Slide3,0.230353571,0.014082629,4,0.8,13
Movies/black.mov,1.082461834,52,A007,Blank,0.034412593,-0.18052121,4,0.8,13
Movies/BigAnimals05_A3.mov,1.582912803,53,A007,Slide1,0.199456992,-0.014173176,4,0.8,14
Movies/BigAnimals13_B4.mov,1.415997624,54,A007,Slide2,0.151062525,-0.061296062,4,0.8,14
Movies/BigAnimals13_B4.mov,1.516213894,55,A007,Slide3,0.180760472,-0.03035723,4,0.8,14
Movies/black.mov,2.116654873,56,A007,Blank,0.325650051,0.115743818,4,0.8,14
Movies/BigAnimals06_A4.mov,2.450242996,57,A007,Slide1,0.389209156,0.180486181,4,0.8,15
Movies/BigAnimals11_B3.mov,1.649546385,58,A007,Slide2,0.217364532,0.009797738,4,0.8,15
Movies/BigAnimals11_B3.mov,1.499534488,59,A007,Slide3,0.175956459,-0.030480161,4,0.8,15
Movies/black.mov,1.049103141,60,A007,Blank,0.020818187,-0.184513252,4,0.8,15
Movies/BigAnimals59_A1.mov,1.482773066,61,A007,Slide1,0.171074689,-0.03317561,4,0.8,16
